Date,EC2_CPU_Avg_Pct,EC2_CPU_Max_Pct,ALB_Request_Count,RDS_CPU_Avg_Pct,Lambda_Invocations,Lambda_Errors,ALB_5xx_Count
2026-07-01,42,68,2210000,38,612000,120,18
2026-07-02,45,71,2350000,41,628000,95,12
2026-07-03,44,69,2180000,39,601000,88,9
2026-07-04,31,55,1180000,28,402000,60,5
2026-07-05,29,52,1050000,26,388000,52,4
2026-07-06,48,74,2480000,43,655000,110,15
2026-07-07,47,72,2420000,42,648000,102,13
2026-07-08,49,76,2510000,44,662000,118,16
2026-07-09,46,70,2390000,41,640000,99,11
2026-07-10,45,71,2360000,40,631000,94,10
2026-07-11,32,56,1210000,29,410000,58,6
2026-07-12,30,53,1090000,27,395000,49,3
2026-07-13,50,78,2560000,45,671000,125,19
2026-07-14,51,79,2600000,46,685000,131,21
2026-07-15,53,82,2680000,48,702000,140,24
2026-07-16,58,98,2890000,61,741000,1820,412
2026-07-17,49,75,2470000,43,658000,112,14
2026-07-18,33,57,1230000,30,415000,61,7
2026-07-19,31,54,1100000,28,398000,50,4
2026-07-20,48,73,2450000,43,652000,105,12
2026-07-21,49,74,2480000,44,660000,108,13
2026-07-22,50,76,2530000,45,668000,115,15
2026-07-23,47,71,2400000,42,644000,98,11
2026-07-24,46,70,2370000,41,635000,92,10
2026-07-25,32,55,1200000,29,408000,55,5
2026-07-26,30,52,1080000,27,392000,48,3
2026-07-27,49,75,2490000,44,663000,110,14
2026-07-28,51,78,2570000,46,679000,122,17
2026-07-29,52,80,2620000,47,690000,128,18
2026-07-30,50,77,2550000,45,672000,116,15
2026-07-31,48,73,2460000,43,656000,104,12
